Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,temperature,humidity,ph,Rainfall_Required
coconut,2001,Whole Year,Andhra Pradesh,104244.0,1124969850,928.4,10646439.72,27103.44,9057.671111,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2001,Kharif,Andhra Pradesh,1107852.0,1876698,928.4,113144924.8,288041.52,1.820454545,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2001,Kharif,Andhra Pradesh,337533.0,986011,928.4,34472245.29,87758.58,2.801818182,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
maize,2001,Rabi,Andhra Pradesh,90752.0,470744,928.4,9268501.76,23595.52,5.592857143,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2001,Kharif,Andhra Pradesh,338337.0,113312,928.4,34554357.81,87967.62,0.408636364,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
mungbean,2001,Rabi,Andhra Pradesh,137698.0,42031,928.4,14063096.74,35801.48,0.351,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2001,Kharif,Andhra Pradesh,2426073.0,6500545,928.4,247774835.5,630778.98,2.627272727,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
rice,2001,Rabi,Andhra Pradesh,1398674.0,4889246,928.4,142846575.6,363655.24,3.025909091,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2001,Kharif,Andhra Pradesh,107061.0,44570,928.4,10934139.93,27835.86,0.388095238,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
blackgram,2001,Rabi,Andhra Pradesh,519831.0,338499,928.4,53090340.03,135156.06,0.439545455,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2002,Kharif,Andhra Pradesh,423436.0,147361,648.1,40086686.12,105859.0,0.337727273,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
pigeonpeas,2002,Rabi,Andhra Pradesh,8200.0,3004,648.1,776294.0,2050.0,0.299333333,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2002,Kharif,Andhra Pradesh,79711.0,53526,648.1,7546240.37,19927.75,0.706470588,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
mothbeans,2002,Rabi,Andhra Pradesh,7268.0,3953,648.1,688061.56,1817.0,0.594285714,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2002,Whole Year,Andhra Pradesh,39354.0,1027659,648.1,3725643.18,9838.5,26.83952381,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2002,Whole Year,Andhra Pradesh,105291.0,1158625735,648.1,9967898.97,26322.75,9202.625556,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2002,Kharif,Andhra Pradesh,803274.0,1085739,648.1,76045949.58,200818.5,1.455238095,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2002,Kharif,Andhra Pradesh,413659.0,912047,648.1,39161097.53,103414.75,1.491363636,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
maize,2002,Rabi,Andhra Pradesh,111990.0,573695,648.1,10602093.3,27997.5,5.602272727,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2002,Kharif,Andhra Pradesh,355292.0,87862,648.1,33635493.64,88823.0,0.217272727,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
mungbean,2002,Rabi,Andhra Pradesh,118162.0,30110,648.1,11186396.54,29540.5,0.291,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2002,Kharif,Andhra Pradesh,2109301.0,5054013,648.1,199687525.7,527325.25,2.202727273,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
rice,2002,Rabi,Andhra Pradesh,712766.0,2272773,648.1,67477557.22,178191.5,2.533636364,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2002,Kharif,Andhra Pradesh,110160.0,45241,648.1,10428847.2,27540.0,0.240454545,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
blackgram,2002,Rabi,Andhra Pradesh,584271.0,330894,648.1,55312935.57,146067.75,0.386666667,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2002,Kharif,Tamil Nadu,44127.0,24067,315.9,4177503.09,11031.75,0.535416667,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2002,Kharif,Tamil Nadu,102020.0,88682,315.9,9658233.4,25505.0,1.041666667,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2002,Whole Year,Tamil Nadu,76771.0,2836916,315.9,7267910.57,19192.75,34.81964286,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2002,Whole Year,Tamil Nadu,345825.0,2860700000,315.9,32739252.75,86456.25,8497.531111,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2002,Kharif,Tamil Nadu,75572.0,83542,315.9,7154401.24,18893.0,1.429230769,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2002,Kharif,Tamil Nadu,121057.0,191646,315.9,11460466.19,30264.25,1.806956522,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2002,Kharif,Tamil Nadu,112812.0,48053,315.9,10679912.04,28203.0,0.411851852,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2002,Kharif,Tamil Nadu,1516537.0,3577108,315.9,143570557.8,379134.25,2.884642857,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2002,Kharif,Tamil Nadu,196888.0,78555,315.9,18639386.96,49222.0,0.422962963,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2003,Kharif,Andhra Pradesh,513239.0,214657,826.0,50800396.22,123177.36,0.424090909,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
pigeonpeas,2003,Rabi,Andhra Pradesh,7492.0,3246,826.0,741558.16,1798.08,0.41625,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2003,Kharif,Andhra Pradesh,128512.0,141628,826.0,12720117.76,30842.88,1.072631579,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
mothbeans,2003,Rabi,Andhra Pradesh,9603.0,6475,826.0,950504.94,2304.72,0.88375,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2003,Whole Year,Andhra Pradesh,38714.0,515379,826.0,3831911.72,9291.36,15.68263158,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2003,Whole Year,Andhra Pradesh,103965.0,1195079360,826.0,10290455.7,24951.6,9524.628235,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2003,Kharif,Andhra Pradesh,836892.0,1890394,826.0,82835570.16,200854.08,2.137619048,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2003,Kharif,Andhra Pradesh,557812.0,1671502,826.0,55212231.76,133874.88,2.420909091,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
maize,2003,Rabi,Andhra Pradesh,162802.0,805284,826.0,16114141.96,39072.48,5.081818182,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2003,Kharif,Andhra Pradesh,478726.0,244136,826.0,47384299.48,114894.24,0.495,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
mungbean,2003,Rabi,Andhra Pradesh,201785.0,68268,826.0,19972679.3,48428.4,0.353,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2003,Kharif,Andhra Pradesh,2108904.0,5841539,826.0,208739317.9,506136.96,2.670909091,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
rice,2003,Rabi,Andhra Pradesh,865734.0,3111263,826.0,85690351.32,207776.16,2.729090909,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2003,Kharif,Andhra Pradesh,95454.0,66827,826.0,9448036.92,22908.96,0.656363636,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
blackgram,2003,Rabi,Andhra Pradesh,343078.0,133336,826.0,33957860.44,82338.72,0.408,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2003,Kharif,Tamil Nadu,44914.0,27475,345.6,4445587.72,10779.36,0.6396,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2003,Kharif,Tamil Nadu,158851.0,172342,345.6,15723071.98,38124.24,1.0744,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2003,Whole Year,Tamil Nadu,71088.0,2514729,345.6,7036290.24,17061.12,34.52965517,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2003,Whole Year,Tamil Nadu,352710.0,2560500000,345.6,34911235.8,84650.4,7781.805714,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2003,Kharif,Tamil Nadu,97777.0,119687,345.6,9677967.46,23466.48,1.504615385,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2003,Kharif,Tamil Nadu,160159.0,250992,345.6,15852537.82,38438.16,1.7856,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2003,Kharif,Tamil Nadu,125690.0,53315,345.6,12440796.2,30165.6,0.407037037,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2003,Kharif,Tamil Nadu,1396651.0,3222776,345.6,138240516.0,335196.24,2.728214286,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2003,Kharif,Tamil Nadu,185732.0,75920,345.6,18383753.36,44575.68,0.412962963,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2004,Kharif,Tamil Nadu,43416.0,28979,1034.0,4703689.44,9117.36,0.6684,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2004,Kharif,Tamil Nadu,97608.0,124300,1034.0,10574850.72,20497.68,1.408846154,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2004,Whole Year,Tamil Nadu,81498.0,3461788,1034.0,8829493.32,17114.58,41.73931034,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2004,Whole Year,Tamil Nadu,357056.0,4097000000,1034.0,38683447.04,74981.76,10877.70276,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2004,Kharif,Tamil Nadu,129364.0,185960,1034.0,14015295.76,27166.44,1.571153846,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2004,Kharif,Tamil Nadu,189893.0,294717,1034.0,20573007.62,39877.53,1.758846154,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2004,Kharif,Tamil Nadu,154959.0,61760,1034.0,16788258.06,32541.39,0.417777778,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2004,Kharif,Tamil Nadu,1872822.0,5061622,1034.0,202901535.5,393292.62,3.015172414,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2004,Kharif,Tamil Nadu,226364.0,82998,1034.0,24524275.76,47536.44,0.4075,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2005,Kharif,Andhra Pradesh,494523.0,300636,1075.5,59303198.16,103849.83,0.554545455,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2005,Kharif,Andhra Pradesh,68884.0,72401,1075.5,8260569.28,14465.64,0.941666667,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
mothbeans,2005,Rabi,Andhra Pradesh,12107.0,9751,1075.5,1451871.44,2542.47,0.952307692,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2005,Whole Year,Andhra Pradesh,45642.0,935517,1075.5,5473388.64,9584.82,23.9085,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2005,Whole Year,Andhra Pradesh,104438.0,891991928,1075.5,12524204.96,21931.98,7717.767778,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2005,Kharif,Andhra Pradesh,1032629.0,2107984,1075.5,123832869.7,216852.09,1.727272727,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2005,Kharif,Andhra Pradesh,593135.0,2098190,1075.5,71128749.2,124558.35,3.803636364,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
maize,2005,Rabi,Andhra Pradesh,164827.0,988711,1075.5,19766053.84,34613.67,6.032272727,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2005,Kharif,Andhra Pradesh,251959.0,122697,1075.5,30214923.28,52911.39,0.582272727,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
mungbean,2005,Rabi,Andhra Pradesh,132963.0,42623,1075.5,15944922.96,27922.23,0.448333333,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2005,Kharif,Andhra Pradesh,2526108.0,6376990,1075.5,302930871.4,530482.68,2.549090909,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
rice,2005,Rabi,Andhra Pradesh,1455643.0,5326634,1075.5,174560708.6,305685.03,3.132272727,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2005,Kharif,Andhra Pradesh,79206.0,33844,1075.5,9498383.52,16633.26,0.384761905,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
blackgram,2005,Rabi,Andhra Pradesh,341832.0,216227,1075.5,40992493.44,71784.72,0.621052632,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2005,Kharif,Tamil Nadu,37769.0,20400,1364.1,4529258.48,7931.49,0.6375,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2005,Kharif,Tamil Nadu,81925.0,94799,1364.1,9824446.0,17204.25,1.3144,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2005,Whole Year,Tamil Nadu,94648.0,4647635,1364.1,11350188.16,19876.08,48.51965517,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2005,Whole Year,Tamil Nadu,370515.0,4867100000,1364.1,44432158.8,77808.15,11777.93172,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2005,Kharif,Tamil Nadu,109742.0,168154,1364.1,13160260.64,23045.82,1.643703704,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2005,Kharif,Tamil Nadu,202830.0,0,1364.1,24323373.6,42594.3,0.0,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2005,Kharif,Tamil Nadu,136699.0,45881,1364.1,16392944.08,28706.79,0.383571429,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2005,Kharif,Tamil Nadu,2050455.0,5209433,1364.1,245890563.6,430595.55,2.895517241,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2005,Kharif,Tamil Nadu,215448.0,70758,1364.1,25836524.16,45244.08,0.403571429,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2006,Kharif,Andhra Pradesh,395644.0,157669,845.2,50527695.24,87041.68,0.420454545,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
pigeonpeas,2006,Rabi,Andhra Pradesh,5606.0,3174,845.2,715942.26,1233.32,0.433333333,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2006,Kharif,Andhra Pradesh,48995.0,39988,845.2,6257151.45,10778.9,0.7375,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
mothbeans,2006,Rabi,Andhra Pradesh,12081.0,6986,845.2,1542864.51,2657.82,0.824545455,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2006,Whole Year,Andhra Pradesh,50286.0,1224106,845.2,6422025.06,11062.92,26.19809524,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2006,Whole Year,Andhra Pradesh,105043.0,1326398065,845.2,13415041.53,23109.46,11710.48222,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2006,Kharif,Andhra Pradesh,971806.0,2181944,845.2,124109344.3,213797.32,2.080952381,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2006,Kharif,Andhra Pradesh,535709.0,1284991,845.2,68415396.39,117855.98,2.942727273,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
maize,2006,Rabi,Andhra Pradesh,190172.0,1177003,845.2,24286866.12,41837.84,6.363181818,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2006,Kharif,Andhra Pradesh,246320.0,80062,845.2,31457527.2,54190.4,0.312727273,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
mungbean,2006,Rabi,Andhra Pradesh,147594.0,63534,845.2,18849229.74,32470.68,0.597142857,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2006,Kharif,Andhra Pradesh,2640870.0,6949186,845.2,337265507.7,580991.4,2.689090909,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
rice,2006,Rabi,Andhra Pradesh,1337020.0,4922944,845.2,170750824.2,294144.4,3.036818182,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2006,Kharif,Andhra Pradesh,82015.0,22555,845.2,10474135.65,18043.3,0.339473684,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
blackgram,2006,Rabi,Andhra Pradesh,415708.0,327533,845.2,53090068.68,91455.76,0.793636364,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2006,Whole Year,Tamil Nadu,29127.0,21334,927.9,3719809.17,6407.94,0.744,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2006,Whole Year,Tamil Nadu,65512.0,98969,927.9,8366537.52,14412.64,1.588333333,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2006,Whole Year,Tamil Nadu,105206.0,5637371,927.9,13435858.26,23145.32,54.02931034,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2006,Whole Year,Tamil Nadu,374604.0,5429900000,927.9,47840676.84,82412.88,13584.69138,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2006,Whole Year,Tamil Nadu,100339.0,220864,927.9,12814293.69,22074.58,2.281111111,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2006,Whole Year,Tamil Nadu,197782.0,759112,927.9,25258739.22,43512.04,4.483076923,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2006,Whole Year,Tamil Nadu,134071.0,77404,927.9,17122207.41,29495.62,0.588214286,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2006,Kharif,Tamil Nadu,1931397.0,6610607,927.9,246658710.9,424907.34,3.584827586,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2006,Whole Year,Tamil Nadu,251014.0,143053,927.9,32056997.94,55223.08,0.6425,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2007,Whole Year,Tamil Nadu,30057.0,21077,1067.2,4009603.8,4809.12,0.73375,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2007,Whole Year,Tamil Nadu,59798.0,85840,1067.2,7977053.2,9567.68,1.6084,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2007,Whole Year,Tamil Nadu,112793.0,5384825,1067.2,15046586.2,18046.88,48.00758621,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2007,Whole Year,Tamil Nadu,383366.0,5438500000,1067.2,51141024.4,61338.56,13190.09759,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2007,Whole Year,Tamil Nadu,99335.0,200673,1067.2,13251289.0,15893.6,2.013928571,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2007,Whole Year,Tamil Nadu,223428.0,810057,1067.2,29805295.2,35748.48,4.077307692,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2007,Whole Year,Tamil Nadu,158691.0,46213,1067.2,21169379.4,25390.56,0.414285714,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2007,Kharif,Tamil Nadu,1789170.0,5039954,1067.2,238675278.0,286267.2,3.213793103,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2007,Whole Year,Tamil Nadu,307515.0,79980,1067.2,41022501.0,49202.4,0.397857143,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2008,Kharif,Andhra Pradesh,439248.0,199414,944.6,62830033.92,39532.32,0.530909091,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
pigeonpeas,2008,Rabi,Andhra Pradesh,3466.0,1942,944.6,495776.64,311.94,0.56,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2008,Kharif,Andhra Pradesh,49844.0,51316,944.6,7129685.76,4485.96,1.134375,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
mothbeans,2008,Rabi,Andhra Pradesh,9274.0,8873,944.6,1326552.96,834.66,1.1875,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2008,Whole Year,Andhra Pradesh,54100.0,1368488,944.6,7738464.0,4869.0,26.21611111,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2008,Whole Year,Andhra Pradesh,106616.0,970056617,944.6,15250352.64,9595.44,9132.568235,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
